id;campaign_id;template_flow_id;created_date;created_by
1;Cambridgeshire;redundant;2020-05-24T16:25:44;front-end Savings Account Courts
2;FTP value-added orchestrate;deposit;2020-05-24T11:52:45;Buckinghamshire Global synthesizing
3;teal Saint Lucia SMTP;Officer International Agent;2020-05-24T21:04:55;Crossing
4;backing up;exploit;2020-05-25T01:06:24;firewall Markets moratorium
5;global index niches;Games complexity;2020-05-24T14:03:23;Creative Gabon monitor
6;National Borders;index Fresh synergies;2020-05-24T05:14:31;Bedfordshire Solutions
7;Creative payment feed;payment card;2020-05-24T11:25:11;Implementation Cambridgeshire
8;Cambridgeshire synthesize Synergized;Practical Investor SCSI;2020-05-24T21:04:40;Field haptic
9;monetize payment ivory;quantifying transition;2020-05-24T21:42:09;neural-net wireless User-friendly
10;seamless;Handmade dynamic microchip;2020-05-24T05:50:24;Group program Incredible
