id;recipient_id;campaign_id;intent_id;channel;connect_details;done;executions;created_date;updated_date
1;Mississippi;Officer;Movies Licensed Soft Shirt;3rd generation input Health;../fake-data/blob/hipster.txt;true;90628;2020-05-25T01:50:34;2020-05-24T20:37:48
2;Forest Lead Steel;SMS invoice;Computer plum;Bermuda Rustic grid-enabled;../fake-data/blob/hipster.txt;true;72680;2020-05-24T02:59:02;2020-05-24T13:18:29
3;Sao Tome and Principe time-frame Wooden;back up Executive Sleek;cross-platform Savings Account;Auto Loan Account parse;../fake-data/blob/hipster.txt;true;93647;2020-05-24T07:03:29;2020-05-24T15:58:48
4;exuding;Court SCSI;SAS expedite;Profound;../fake-data/blob/hipster.txt;true;31092;2020-05-24T19:17:52;2020-05-24T06:48:05
5;connect Analyst proactive;Cheese;back up Handmade Metal Hat;Home Loan Account Representative;../fake-data/blob/hipster.txt;true;89039;2020-05-25T01:01:44;2020-05-24T20:16:10
6;PNG Grass-roots 24/7;Savings Account Computer;definition;compressing encompassing deposit;../fake-data/blob/hipster.txt;false;96803;2020-05-24T20:57:53;2020-05-24T17:19:09
7;West Virginia New Caledonia Saint Vincent and the Grenadines;open-source Object-based sky blue;empower;Maine United States of America teal;../fake-data/blob/hipster.txt;true;83707;2020-05-25T01:52:16;2020-05-24T11:18:17
8;dedicated Music Jersey;Concrete;pixel Optimization;Streets transmit;../fake-data/blob/hipster.txt;true;8402;2020-05-24T13:10:08;2020-05-24T17:13:30
9;feed;strategic;Checking Account grey;Stravenue quantifying;../fake-data/blob/hipster.txt;false;33468;2020-05-24T09:32:55;2020-05-25T01:59:52
10;cross-platform;Australia;Engineer withdrawal;Technician Games Investor;../fake-data/blob/hipster.txt;false;8854;2020-05-24T09:48:38;2020-05-24T14:30:57
