id;recipient_id;campaign_id;intent_id;channel;connect_details;done;executions;created_date;updated_date
1;Mississippi;Officer;Movies Licensed Soft Shirt;3rd generation input Health;../fake-data/blob/hipster.txt;true;90628;2020-05-25T02:14:55;2020-05-24T21:02:09
2;Forest Lead Steel;SMS invoice;Computer plum;Bermuda Rustic grid-enabled;../fake-data/blob/hipster.txt;true;72680;2020-05-24T03:23:23;2020-05-24T13:42:50
3;Sao Tome and Principe time-frame Wooden;back up Executive Sleek;cross-platform Savings Account;Auto Loan Account parse;../fake-data/blob/hipster.txt;true;93647;2020-05-24T07:27:50;2020-05-24T16:23:09
4;exuding;Court SCSI;SAS expedite;Profound;../fake-data/blob/hipster.txt;true;31092;2020-05-24T19:42:13;2020-05-24T07:12:26
5;connect Analyst proactive;Cheese;back up Handmade Metal Hat;Home Loan Account Representative;../fake-data/blob/hipster.txt;true;89039;2020-05-25T01:26:05;2020-05-24T20:40:31
6;PNG Grass-roots 24/7;Savings Account Computer;definition;compressing encompassing deposit;../fake-data/blob/hipster.txt;false;96803;2020-05-24T21:22:14;2020-05-24T17:43:30
7;West Virginia New Caledonia Saint Vincent and the Grenadines;open-source Object-based sky blue;empower;Maine United States of America teal;../fake-data/blob/hipster.txt;true;83707;2020-05-25T02:16:37;2020-05-24T11:42:38
8;dedicated Music Jersey;Concrete;pixel Optimization;Streets transmit;../fake-data/blob/hipster.txt;true;8402;2020-05-24T13:34:29;2020-05-24T17:37:51
9;feed;strategic;Checking Account grey;Stravenue quantifying;../fake-data/blob/hipster.txt;false;33468;2020-05-24T09:57:16;2020-05-25T02:24:13
10;cross-platform;Australia;Engineer withdrawal;Technician Games Investor;../fake-data/blob/hipster.txt;false;8854;2020-05-24T10:12:59;2020-05-24T14:55:18
